district,chiefdom,phu,school_name,target_pupils,barcode_id
Bo,Badjia,Badjia CHC,Foya Primary School,65,SCH-001
Bo,Badjia,Badjia CHC,Gbondapi Primary School,48,SCH-002
Bo,Badjia,Badjia CHC,Valunia Primary School,72,SCH-003
Bo,Badjia,Badjia CHC,Kpetema Primary School,55,SCH-004
Bo,Badjia,Badjia CHC,Jombohun Primary School,41,SCH-005
Bo,Bagbe,Bagbe CHC,Koribundu Primary School,88,SCH-006
Bo,Bagbe,Bagbe CHC,Jimmi Primary School,61,SCH-007
Bo,Bagbe,Bagbe CHC,Sembehun Primary School,74,SCH-008
Bo,Bagbe,Bagbe CHC,Blama Primary School,53,SCH-009
Bo,Bagbe,Bagbe CHC,Sumbuya Primary School,69,SCH-010
Kenema,Dama,Dama PHU,Daru Primary School,82,SCH-011
Kenema,Dama,Dama PHU,Pendembu Primary School,47,SCH-012
Kenema,Dama,Dama PHU,Kailahun Primary School,93,SCH-013
Kenema,Dama,Dama PHU,Segbwema Primary School,58,SCH-014
Kenema,Dama,Dama PHU,Gorahun Primary School,36,SCH-015
